State,X1990,X2000,X2009
Alabama,66.9,75.3,82.1
Alaska,86.6,88.3,91.4
Arizona,78.7,81,84.2
Arkansas,66.3,75.3,82.4
California,76.2,76.8,80.6
Colorado,84.4,86,89.3
Connecticut,79.2,84,88.6
District of Columbia,73.1,77.8,87.1
Delaware,77.5,82.6,87.4
Florida,74.4,79.9,85.3
Georgia,70.9,78.6,83.9
Hawaii,80.1,84.6,90.4
Idaho,79.7,84.7,88.4
Illinois,76.2,81.4,86.4
Indiana,75.6,82.1,86.6
Iowa,80.1,86.1,90.5
Kansas,81.1,86,89.7
Kentucky,64.6,74.1,81.7
Louisiana,68.3,74.8,82.2
Maine,78.8,85.4,90.2
Maryland,78.4,83.8,88.2
Massachusetts,80,84.8,89
Michigan,76.8,83.4,87.9
Minnesota,82.4,87.9,91.5
Mississippi,64.3,72.9,80.4
Missouri,73.9,81.3,86.8
Montana,81,87.2,90.8
Nebraska,81.8,86.6,89.8
Nevada,78.8,80.7,83.9
New Hampshire,82.2,87.4,91.3
New Jersey,76.7,82.1,87.4
New Mexico,75.1,78.9,82.8
New York,74.8,79.1,84.7
North Carolina,70,78.1,84.3
North Dakota,76.7,83.9,90.1
Ohio,75.7,83,87.6
Oklahoma,74.6,80.6,85.6
Oregon,81.5,85.1,89.1
Pennsylvania,74.7,81.9,87.9
Rhode Island,72,78,84.7
South Carolina,68.3,76.3,83.6
South Dakota,77.1,84.6,89.9
Tennessee,67.1,75.9,83.1
Texas,72.1,75.7,79.9
Utah,85.1,87.7,90.4
Vermont,80.8,86.4,91
Virginia,75.2,81.5,86.6
Washington,83.8,87.1,89.7
West Virginia,66,75.2,82.8
Wisconsin,78.6,85.1,89.8
Wyoming,83,87.9,91.8
