Year,LP_EP,CD,Ringtones,Subscription,Cassette
1973,280,0,0,0,76
1974,276,0,0,0,82
1975,257,0,0,0,82
1976,273,0,0,0,90
1977,344,0,0,0,125
1978,341.3,0,0,0,400
1979,290,0,0,0,500
1980,308,0,0,0,510
1981,295.2,0,0,0,750
1982,243.9,0,0,0,1000
1983,209.6,0.8,0,0,1500
1984,204.6,5.8,0,0,1600
1985,167,22.6,0,0,1750
1986,125.2,53,0,0,1800
1987,107,102.1,0,0,2000
1988,72.4,149.7,0,0,3000
1989,34.6,207,0,0,3100
1990,11.7,286.5,0,0,3008
1991,4.8,333.3,0,0,3000
1992,2.3,407.5,0,0,3100
1993,1.2,495.4,0,0,3001
1994,1.9,662.1,0,0,3002
1995,2.2,722.9,0,0,3005
1996,2.9,778.9,0,0,2300
1997,3.4,753.1,0,0,1900
1998,2.9,847,0,0,1500
1999,2.5,938.9,0,0,1400
2000,2.3,942.5,0,0,1100
2001,2.6,881.9,0,0,626
2002,2.5,803.3,0,0,363
2003,2.5,746,0,0,209
2004,2.6,767,0,0,108
2005,1.5,705.4,410,0,23
2006,1.8,619.7,780,0,13
2007,2.7,499.7,1050,0,3.7
2008,2.8,368.4,980,0,3
2009,2.9,296,700,0,0.9
2010,8.2,253,450,0,0
2011,5,240,280,0,0
2012,5,198,150,0,0
2013,10,173,100,0,0
2014,12,138.7,50,0,0
2015,13,117.1,50,0,0
2016,15.2,97.6,30,275,0
2017,15.8,87.7,20,580,0
2018,16.7,52,15,750,0
